PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA EXHIBIDA EN SALAS DE CINE,PROPAGANDA UTILITARIA,TOTAL GASTOS
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 65-PALENQUE,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,FRANCISCO LOPEZ VAZQUEZ,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,2287147.17,,449.28,,,,,3922.15,,,4371.43
PRELO-CAM-20/21,LOCAL,CHIHUAHUA,Municipio 32-HIDALGO DEL PARRAL,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,JORGE LUNA RODRIGUEZ,29/04/2021,02/06/2021,30/04/2021 09:56:28 p.m.,ACTIVO,,1984926.17,,13250,,,,,,,,13250
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 77-SAN CRISTOBAL DE LAS CASAS,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,CARLOS MANUEL BERMUDEZ CROCKER,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,2820185.34,,553.99,,,,,4836.24,,,5390.23
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 1-ACACOYAGUA,PRESIDENTE MUNICIPAL,C,PARTIDO CHIAPAS UNIDO,PARTIDO CHIAPAS UNIDO,HIGINIO NIÑO JIMENEZ,04/05/2021,02/06/2021,30/04/2021 05:48:01 p.m.,ACTIVO,,283464.15,,1000,,,,,,,,1000
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 55-METAPA,PRESIDENTE MUNICIPAL,C,PARTIDO CHIAPAS UNIDO,PARTIDO CHIAPAS UNIDO,FAVIO DE JESUS DE LA CRUZ HERRERA,04/05/2021,02/06/2021,30/04/2021 05:48:01 p.m.,ACTIVO,,107301.69,,3000,,,,,,,,3000
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 109-VILLAFLORES,PRESIDENTE MUNICIPAL,C,PARTIDO CHIAPAS UNIDO,PARTIDO CHIAPAS UNIDO,PAOLA AGUILAR ZUART,04/05/2021,02/06/2021,30/04/2021 05:48:01 p.m.,ACTIVO,,2058408.99,,7000,,,,,,,4300,11300
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 117-SAN ANDRES DURAZNAL ,PRESIDENTE MUNICIPAL,C,PARTIDO CHIAPAS UNIDO,PARTIDO CHIAPAS UNIDO,RAMON GOMEZ GOMEZ,04/05/2021,02/06/2021,30/04/2021 05:48:01 p.m.,ACTIVO,,83816.44,,3000,,,,,,,,3000
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 61-OCOZOCOAUTLA DE ESPINOSA,PRESIDENTE MUNICIPAL,COA,VA POR CHIAPAS,PAN-PRI-PRD,LUIS ARMANDO NANGULLASMU AVENDAÑO,04/05/2021,02/06/2021,30/04/2021 11:21:03 p.m.,ACTIVO,,1871609.1,,9083.33,,89761.94,,,,,6957.57,105802.84
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 82-SIMOJOVEL,PRESIDENTE MUNICIPAL,C,PARTIDO CHIAPAS UNIDO,PARTIDO CHIAPAS UNIDO,JUAN GOMEZ DOMINGUEZ,04/05/2021,02/06/2021,30/04/2021 05:48:01 p.m.,ACTIVO,,711353.32,,41619.8,,,,,,,,41619.8
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 94-TENEJAPA,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,OCTAVIO SANCHEZ GOMEZ,04/05/2021,02/06/2021,30/04/2021 07:54:09 p.m.,ACTIVO,,658534.63,,,,12609.74,,,,,14256.76,26866.5
