PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA EXHIBIDA EN SALAS DE CINE,PROPAGANDA UTILITARIA,TOTAL GASTOS
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,COA,SI POR SAN LUIS POTOSI,PAN-PRI-PRD-CONCIENCIA POPULAR,CESAR OCTAVIO PEDROZA GAITAN,05/03/2021,02/06/2021,02/03/2021 11:11:20 a.m.,ACTIVO,,29223864.7,81.2,1591348.59,122799.99,266669.62,102641.44,1632164.54,1160000,,648081.33,5523786.71
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,NUEVA ALIANZA SAN LUIS POTOSÍ,NUEVA ALIANZA SAN LUIS POTOSÍ,FRANCISCO JAVIER RICO AVALOS,05/03/2021,02/06/2021,02/03/2021 12:05:28 p.m.,ACTIVO,,29223864.7,,177473.78,,500,,,,,,177973.78
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,FUERZA POR MÉXICO,FS X MÉXICO,JUAN CARLOS MACHINENA MORALES,05/03/2021,02/06/2021,02/03/2021 12:13:27 p.m.,ACTIVO,,29223864.7,,65000,,15745.08,,32776.5,,,109371.09,222892.67
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,PARTIDO ENCUENTRO SOLIDARIO,PES,ADRIAN ESPER CARDENAS,05/03/2021,02/06/2021,02/03/2021 12:15:18 p.m.,ACTIVO,,29223864.7,,17847.15,24693.4,68269.76,,,,,172294.04,283104.35
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,COA,JUNTOS HAREMOS HISTORIA EN SAN LUIS POTOSI,PVEM-PT,JOSE RICARDO GALLARDO CARDONA,05/03/2021,02/06/2021,02/03/2021 11:25:11 a.m.,ACTIVO,,29223864.7,,1559377.43,431720,995414.01,82244,2101101.76,1001442,,3232671.03,9403970.23
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,ADRIANA MARVELY COSTANZO RANGEL,05/03/2021,02/06/2021,02/03/2021 11:37:22 a.m.,ACTIVO,,29223864.7,,1101457.1,29000,238507.98,,429657.04,278364,,232798.78,2309784.9
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,MORENA,MORENA,MONICA LILIANA RANGEL MARTINEZ,05/03/2021,02/06/2021,02/03/2021 12:07:42 p.m.,ACTIVO,,29223864.7,,642490.31,,185594.2,32640,3043187.04,130765.96,,479126.36,4513803.87
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,JOSE ARTURO SEGOVIANO GARCIA,05/03/2021,02/06/2021,02/03/2021 12:11:41 p.m.,ACTIVO,,29223864.7,,848281.71,3744.08,658380,,55003,56785.8,,906197,2528391.59
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,JOSE LUIS ROMERO CALZADA,05/03/2021,02/06/2021,02/03/2021 12:22:22 p.m.,ACTIVO,,29223864.7,,16135.2,9982.12,167232.76,,480762,18665.75,,,692777.83
PRELO-CAM-20/21,LOCAL,SONORA,,GOBERNADOR ESTATAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,RICARDO ROBINSON BOURS CASTELO,05/03/2021,02/06/2021,04/03/2021 08:47:10 p.m.,ACTIVO,,85311342.5,346.9,765379.59,155706.96,1315517.62,,,5629251.1,,82554.88,7948757.05
PRELO-CAM-20/21,LOCAL,SONORA,,GOBERNADOR ESTATAL,C,FUERZA POR MÉXICO,FS X MÉXICO,MARIA DEL ROSARIO FATIMA ROBLES ROBLES,05/03/2021,02/06/2021,04/03/2021 08:52:11 p.m.,ACTIVO,,85311342.5,,,,,,44829.36,,,19041.4,63870.76
PRELO-CAM-20/21,LOCAL,SONORA,,GOBERNADOR ESTATAL,CC,MORENA,MORENA,FRANCISCO ALFONSO DURAZO MONTAÑO,05/03/2021,02/06/2021,04/03/2021 09:00:43 p.m.,ACTIVO,,85311342.5,,2505696.64,302760,844176.92,,39498,2205629.31,,917848.2,6815609.07
PRELO-CAM-20/21,LOCAL,SONORA,,GOBERNADOR ESTATAL,CC,NUEVA ALIANZA SONORA,NUEVA ALIANZA SONORA,FRANCISCO ALFONSO DURAZO MONTAÑO,05/03/2021,02/06/2021,04/03/2021 09:00:43 p.m.,ACTIVO,,85311342.5,,29206.4,197780,,,,,,132626.86,359613.26
PRELO-CAM-20/21,LOCAL,NUEVO LEON,Municipio 30-HUALAHUISES,PRESIDENTE MUNICIPAL,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,JOEL ALEJANDRO DE LEON AGUIRRE,05/03/2021,02/06/2021,04/03/2021 10:09:24 p.m.,ACTIVO,,112106.24,,12592.47,,19278.78,,,5568,,27389.51,64828.76
PRELO-CAM-20/21,LOCAL,NUEVO LEON,Distrito 6-MONTERREY,DIPUTADO LOCAL MR,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,ROBERTO ALVISO MARQUES,05/03/2021,02/06/2021,04/03/2021 10:16:12 p.m.,ACTIVO,,1858026.96,,35951.17,,56500.23,,,23200,,,115651.4
PRELO-CAM-20/21,LOCAL,NUEVO LEON,Distrito 4-MONTERREY,DIPUTADO LOCAL MR,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,KRISTIAN ANDRES MACIAS FERNANDEZ,05/03/2021,02/06/2021,04/03/2021 10:35:29 p.m.,ACTIVO,,1634196.99,,7860.46,,13300,,,,,,21160.46
