PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA UTILITARIA,TOTAL GASTOS
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 1-JESUS MARIA,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,NORMA ISABEL ZAMORA RODRIGUEZ,04/04/2021,02/06/2021,06/04/2021 03:22:40 a.m.,ACTIVO,,1648189,,5227.35,,10313.19,,,237.5,54613.7,70391.74
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 1-JESUS MARIA,DIPUTACION FEDERAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,CLAUDIA BRISEIDA CHAVEZ RAMIREZ,04/04/2021,02/06/2021,06/04/2021 02:45:17 a.m.,ACTIVO,,1648189,,46512.15,,1709.4,,14500,100000,,162721.55
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 1-JESUS MARIA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,NOEL MATA ATILANO,04/04/2021,02/06/2021,06/04/2021 05:42:36 a.m.,ACTIVO,,1648189,,10500,,170720,,136000,110000,105001.5,532221.5
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 2-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,PAOLA NADINE CORTES CALZADA,04/04/2021,02/06/2021,06/04/2021 03:17:10 a.m.,ACTIVO,,1648189,,5227.35,,10313.19,,,237.5,54613.7,70391.74
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 2-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,MONICA BECERRA MORENO,04/04/2021,02/06/2021,05/04/2021 11:48:27 p.m.,ACTIVO,,1648189,,25995.82,,147726,,132000,29999.92,98472.41,434194.15
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 2-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,LUIS ERNESTO GUTIERREZ BERDEJA,04/04/2021,02/06/2021,06/04/2021 01:05:35 a.m.,ACTIVO,,1648189,,,,,,,,11099.46,11099.46
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 2-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,ROBERTO LAMAS DE ALBA,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,18987.34,,,,,,,18987.34
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 3-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,FRANCE SVETLANA FARIAS CARRILLO,04/04/2021,02/06/2021,06/04/2021 02:54:31 a.m.,ACTIVO,,1648189,,5469.26,,10313.19,,,237.5,54613.7,70633.65
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 3-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,PAULO GONZALO MARTINEZ LOPEZ,04/04/2021,02/06/2021,05/04/2021 11:48:27 p.m.,ACTIVO,,1648189,,30083.26,,63336,,391384,121800,54227.97,660831.23
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 3-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,SUSAN ANY MUÑOZ RODRIGUEZ,04/04/2021,02/06/2021,06/04/2021 01:05:35 a.m.,ACTIVO,,1648189,,,,,,,,11099.46,11099.46
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 3-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,LUIS FRANCISCO GERARDO PONCE MORAN,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,83600.51,,34130.11,,69600.74,,69310,256641.36
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 1-MEXICALI,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,JOSE LUIS MEJIA OJEDA,04/04/2021,02/06/2021,06/04/2021 03:32:47 a.m.,ACTIVO,,1648189,,5227.35,,10313.19,,61265.4,237.5,54613.7,131657.14
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 2-MEXICALI,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,EDNA PAULINA GUTIERREZ RUBALCAVA,04/04/2021,02/06/2021,06/04/2021 03:32:47 a.m.,ACTIVO,,1648189,,14687.79,,10313.19,,61265.4,237.5,54613.7,141117.58
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 2-MEXICALI,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,JOSE LUIS AGUIRRE BLANCAS,04/04/2021,02/06/2021,06/04/2021 01:05:35 a.m.,ACTIVO,,1648189,,,,45240,,,,,45240
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 2-MEXICALI,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,VICTOR MANUEL SANCHEZ SAENZ,04/04/2021,02/06/2021,05/04/2021 11:35:13 p.m.,ACTIVO,,1648189,,18987.34,,,,,,,18987.34
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 2-MEXICALI,DIPUTACION FEDERAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,LEXY YULIANA YAÑEZ LAMAS,04/04/2021,02/06/2021,06/04/2021 02:24:18 a.m.,ACTIVO,,1648189,,66182.55,,1709.4,,,58016.99,161535,287443.94
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 3-ENSENADA,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,COLUMBA DOMINGUEZ DELGADILLO,04/04/2021,02/06/2021,16/04/2021 08:07:32 p.m.,ACTIVO,,1648189,,227.35,,10313.19,,61265.4,237.5,54613.7,126657.14
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 3-ENSENADA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,JHOANNA ESTHELA CHAVEZ JACINTO,04/04/2021,02/06/2021,06/04/2021 05:43:14 a.m.,ACTIVO,,1648189,,68027.34,,,,,,64800,132827.34
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 4-TIJUANA,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,XOCHILT DE LABRA MONREAL,04/04/2021,02/06/2021,06/04/2021 03:32:47 a.m.,ACTIVO,,1648189,,5227.34,,10313.19,,61265.4,237.5,54613.7,131657.13
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 4-TIJUANA,DIPUTACION FEDERAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,LUIS ARTURO GONZALEZ CRUZ,04/04/2021,02/06/2021,06/04/2021 02:20:25 a.m.,ACTIVO,,1648189,,66182.55,,1709.4,,22120.56,58017,161535,309564.51
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 4-TIJUANA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,HORTENSIA HERNANDEZ MENDOZA,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,18987.34,,,,,,,18987.34
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 5-TIJUANA,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,FARAH RISK MORALES,04/04/2021,02/06/2021,06/04/2021 03:36:15 a.m.,ACTIVO,,1648189,,5227.34,,10313.19,,61265.4,237.5,54613.7,131657.13
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 5-TIJUANA,DIPUTACION FEDERAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,JUAN DIEGO BERISTAIN AVILA,04/04/2021,02/06/2021,06/04/2021 02:26:23 a.m.,ACTIVO,,1648189,,66182.55,,1709.4,,41707.32,58017,161535,329151.27
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 6-TIJUANA,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,JORGE FRANCISCO GUZMAN MENDEZ,04/04/2021,02/06/2021,06/04/2021 03:30:36 a.m.,ACTIVO,,1648189,,5227.34,,10313.19,,61265.4,237.5,54613.7,131657.13
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 6-TIJUANA,DIPUTACION FEDERAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,HUGO LEON VALLE,04/04/2021,02/06/2021,06/04/2021 02:31:25 a.m.,ACTIVO,,1648189,,66182.55,,1709.4,,,58017,161535,287443.95
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 7-MEXICALI,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,FELIPE DE JESUS MAYORAL MAYORAL,04/04/2021,02/06/2021,06/04/2021 03:30:36 a.m.,ACTIVO,,1648189,,5227.34,,10313.19,,61265.4,237.5,54613.7,131657.13
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 7-MEXICALI,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,CELESTINO SALCEDO FLORES,04/04/2021,02/06/2021,06/04/2021 05:43:14 a.m.,ACTIVO,,1648189,,18987.34,,,,,,,18987.34
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 8-TIJUANA,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,MARTHA PAULETTE GALLARDO GALINDO,04/04/2021,02/06/2021,06/04/2021 03:30:36 a.m.,ACTIVO,,1648189,,16698.03,,10313.19,,61265.4,237.5,54613.7,143127.82
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA SUR,Distrito 1-LA PAZ,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,RAMIRO RUIZ FLORES,04/04/2021,02/06/2021,06/04/2021 03:28:33 a.m.,ACTIVO,,1648189,,5227.34,,10313.19,,,237.5,54613.7,70391.73
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA SUR,Distrito 1-LA PAZ,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MARCO ANTONIO ALMENDARIZ PUPPO,04/04/2021,02/06/2021,06/04/2021 05:43:14 a.m.,ACTIVO,,1648189,,30739.16,,179491.67,,,60000,71023.9,341254.73
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA SUR,Distrito 2-SAN JOSE DEL CABO,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,NORMA IGNACIA RIVERA GONZALEZ,04/04/2021,02/06/2021,06/04/2021 03:09:20 a.m.,ACTIVO,,1648189,,5227.34,,10313.19,,,237.5,54613.7,70391.73
