PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,DIFERENCIA POR PRORRATEO,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA EXHIBIDA EN SALAS DE CINE,PROPAGANDA UTILITARIA,TOTAL GASTOS
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 11-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,RAUL ANGEL OTERO DIAZ,04/04/2021,02/06/2021,16/04/2021 07:52:02 p.m.,ACTIVO,,1648189,,,178226.53,26180.48,193401.9,,386334.98,133466.35,,33872,951482.24
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 25-CHIMALHUACAN,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,GUADALUPE MERINO TRUJILLO,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,,162921.69,26180.48,272738.48,,,380157.12,,76850,918847.77
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 30-CHIMALHUACAN,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,MAURICIO PIÑA VALDES,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,,95385.41,26180.48,150220,,,56535.95,,609778.3,938100.14
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 16-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,CRISTA AMANDA SPOHN GOTZEL,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,,113302.07,26180.48,293100.03,,,335479.55,,185640,953702.13
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 10-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,MARTIN ALBERTO GARCIA MARQUEZ,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,,85835.41,26180.48,298061.19,,,56753.57,,460762.44,927593.09
PREFO-CAM-20/21,FEDERAL,QUINTANA ROO,Distrito 4-CANCUN,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MARIA DEL CARMEN JOAQUIN HERNANDEZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,215563.79,19314.31,41000.3,11161.89,263784,129324.74,,400807.26,1080956.29
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 6-TIJUANA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,JACQUELINE NAVA MOUETT,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,111763.88,19314.31,79627.28,3262.89,276293.33,66818.59,,224029.9,781110.18
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 14-MINATITLAN,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,FREDY AYALA GONZALEZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,213490.19,19314.31,189025.23,3262.89,27945.46,23531.76,,463781.29,940351.13
PREFO-CAM-20/21,FEDERAL,NAYARIT,Distrito 2-TEPIC,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,LEOPOLDO DOMINGUEZ GONZALEZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,230827.88,19314.31,283142.99,3262.89,224094.6,133845.26,,315849.79,1210337.72
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 4-TIJUANA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,HORTENSIA HERNANDEZ MENDOZA,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,365.4,407286.03,19314.31,109666.29,3262.89,,30127.82,,266373.12,836395.86
