PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA UTILITARIA,TOTAL GASTOS
PREFO-CAM-20/21,FEDERAL,DURANGO,Distrito 2-GOMEZ PALACIO,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MARIA DEL ROCIO REBOLLO MENDOZA,04/04/2021,02/06/2021,06/04/2021 05:42:37 a.m.,ACTIVO,,1648189,,73399.34,,84883.7,,36704.14,,79220.6,274207.78
PREFO-CAM-20/21,FEDERAL,OAXACA,Distrito 7-CIUDAD IXTEPEC,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,OSCAR TORAL RIOS,04/04/2021,02/06/2021,06/04/2021 05:42:37 a.m.,ACTIVO,,1648189,,141785.27,,98828.55,,53637.05,,108650.63,402901.5
PREFO-CAM-20/21,FEDERAL,MICHOACAN,Distrito 2-PURUANDIRO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,JOSE REYES RIOS,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
PREFO-CAM-20/21,FEDERAL,MICHOACAN,Distrito 8-MORELIA,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,FABIOLA PAOLA VILLA ESPINOZA,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
PREFO-CAM-20/21,FEDERAL,CAMPECHE,Distrito 1-SAN FRANCISCO DE CAMPECHE,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,MARCOS ALBERTO PINZON CHARLES,04/04/2021,02/06/2021,06/04/2021 05:42:08 a.m.,ACTIVO,,1648189,,73656.8,551.05,,,,5558.11,44848.5,124614.46
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 11-VENUSTIANO CARRANZA,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,NATALIA HERNANDEZ QUIROZ,04/04/2021,02/06/2021,16/04/2021 08:36:01 p.m.,ACTIVO,,1648189,,11397.81,,3374.13,,,,4489.93,19261.87
PREFO-CAM-20/21,FEDERAL,PUEBLA,Distrito 14-ACATLAN DE OSORIO,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,RUTH LILIANA MORALES BRISEÑO,04/04/2021,02/06/2021,06/04/2021 05:34:32 a.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,CHIHUAHUA,Distrito 8-CHIHUAHUA,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,HECTOR JESUS GURROLA GARIBALDI,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
PREFO-CAM-20/21,FEDERAL,CHIHUAHUA,Distrito 5-DELICIAS,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,KARLA VERONICA LOPEZ AGUIRRE,04/04/2021,02/06/2021,06/04/2021 05:34:32 a.m.,ACTIVO,,1648189,,1397.81,,3374.13,,,,4489.93,9261.87
PREFO-CAM-20/21,FEDERAL,MICHOACAN,Distrito 6-CIUDAD HIDALGO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,MARTHA ESCOBEDO HERNANDEZ,04/04/2021,02/06/2021,06/04/2021 05:41:50 a.m.,ACTIVO,,1648189,,,551.05,,,,5558.11,,6109.16
